Gender,Age,SeniorCitizen,Married,NumberofDependents,Number_of_Referrals,TenureinMonths,Offer,PhoneService,AvgMonthlyLongDistanceCharges,MultipleLines,InternetService,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,SatisfactionScore,ServiceCount,AvgChargePerTenureMonth,CLTV
Male,78,Yes,No,0,0,1,No Offer,No,0.0,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0.0,20,0.0,3,2,39.65,5433
Female,74,Yes,Yes,1,1,8,Offer E,Yes,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,0.0,0,390.8,3,2,79.1625,5302
Male,71,Yes,No,3,0,18,Offer D,Yes,11.33,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,2,4,97.36388888888888,3179
Female,78,Yes,Yes,1,1,25,Offer C,Yes,19.76,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,13.43,0,494.0,2,5,100.58,5337
Female,80,Yes,Yes,1,1,37,Offer C,Yes,6.33,Yes,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0.0,0,234.21,2,1,77.51756756756757,2793
Female,72,Yes,No,1,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0.0,10,89.91,1,1,79.0925925925926,4638
Female,76,Yes,Yes,2,1,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0.0,0,15.28,2,1,70.45,3964
Male,66,Yes,Yes,0,6,58,Offer B,No,0.0,No,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0.0,1,4,45.710344827586205,5444
Female,70,Yes,No,2,0,15,Offer D,Yes,44.07,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,0.0,0,661.05,2,1,76.38000000000001,5717
Female,77,Yes,No,2,0,7,Offer E,Yes,26.95,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,0,188.65,2,1,71.94285714285715,4419
Female,78,Yes,No,1,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1,3,101.84545454545454,5980
Male,65,Yes,No,0,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1,2,71.61999999999999,4616
Male,77,Yes,Yes,0,1,1,Offer E,No,0.0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0,0.0,2,3,40.2,5828
Male,67,Yes,No,0,0,3,Offer E,No,0.0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,0,0.0,2,4,44.06666666666666,2314
Male,68,Yes,No,0,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1,4,104.94615384615385,2494
Female,68,Yes,No,0,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1,5,94.45,3810
Male,66,Yes,No,0,0,8,No Offer,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0.0,0,14.24,2,2,75.81875,4345
Male,69,Yes,No,0,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2,1,71.3625,2018
Female,74,Yes,No,0,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0,126.44,3,3,99.025,3677
Male,76,Yes,Yes,0,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,2,1,71.9796875,4105
Male,77,Yes,Yes,0,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0,386.4,2,5,92.96041666666667,2212
Female,70,Yes,No,0,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,1,7,80.55740740740741,4149
Female,74,Yes,No,0,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0,26.34,3,1,69.525,2671
Female,77,Yes,No,0,0,21,No Offer,No,0.0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0,0,0.0,1,3,40.00476190476191,4778
Male,71,Yes,Yes,0,0,27,No Offer,No,0.0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0,140,0.0,1,1,29.81851851851852,2927
Male,79,Yes,Yes,0,1,11,No Offer,Yes,29.54,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0,324.94,1,0,19.522727272727273,5888
Female,66,Yes,Yes,0,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,1,2,88.63090909090909,5502
Male,77,Yes,No,0,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.66,1,2,77.89999999999999,2818
Female,80,Yes,No,0,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,20,35.09,2,1,75.3,4902
Female,77,Yes,No,0,0,5,Offer E,No,0.0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0,0.0,2,2,26.21,4099
Female,77,Yes,No,0,0,20,No Offer,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0.0,80,974.6,1,3,89.12,2666
Female,72,Yes,Yes,0,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0,228.8,1,1,66.96000000000001,5273
Female,80,Yes,Yes,0,2,27,No Offer,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,1,2,71.4574074074074,4517
Female,74,Yes,No,0,0,4,No Offer,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,0,193.4,1,3,86.55,5808
Female,68,Yes,No,0,0,1,No Offer,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0,45.81,1,2,85.7,4880
Female,78,Yes,Yes,0,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,0,1195.35,1,5,104.40615384615384,4196
Male,75,Yes,Yes,0,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0,1123.08,2,3,92.80102040816327,5059
Male,77,Yes,Yes,0,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,2,6,109.02093023255813,2728
Male,80,Yes,Yes,0,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0,2732.8,1,5,103.47589285714285,6268
Male,75,Yes,Yes,0,7,20,No Offer,Yes,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0,106.2,1,4,94.9825,5604
Female,69,Yes,No,0,0,2,No Offer,Yes,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0.0,0,94.94,2,4,80.75,2065
Female,74,Yes,No,0,0,8,No Offer,Yes,27.95,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0.0,0,223.6,2,0,20.5375,5432
Male,76,Yes,No,0,0,52,No Offer,No,0.0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,2,4,49.05576923076923,5597
Male,69,Yes,No,0,0,2,No Offer,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,2,2,45.55,3475
Male,72,Yes,Yes,0,1,33,No Offer,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,3,3,94.10757575757576,4333
Female,69,Yes,No,0,0,30,No Offer,Yes,45.88,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0.0,0,1376.4,1,4,91.93833333333333,2482
Male,73,Yes,No,0,0,20,No Offer,Yes,44.44,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120,888.8,3,3,92.14,5444
Female,65,Yes,No,0,0,46,No Offer,Yes,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0,109.02,1,7,105.97391304347826,2403
