Gender,Age,SeniorCitizen,Married,NumberofDependents,Number_of_Referrals,TenureinMonths,Offer,PhoneService,AvgMonthlyLongDistanceCharges,MultipleLines,InternetService,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,SatisfactionScore,ServiceCount,AvgChargePerTenureMonth,CLTV
Female,60,No,Yes,0,6,53,Offer B,Yes,11.35,No,No,No Internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.85,1039.45,14.67,0,601.55,3,0,19.612264150943396,4836
Male,46,No,No,0,0,29,Offer C,No,0.0,No,Yes,DSL,8,Yes,No,No,Yes,No,No,No,Yes,One Year,No,Mailed Check,35.6,1072.6,0.0,0,0.0,4,3,36.98620689655172,3898
Male,19,No,Yes,2,6,24,Offer C,Yes,25.84,No,No,No Internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,20.8,469.65,0.0,0,620.16,5,0,19.568749999999998,4654
Male,45,No,No,0,0,30,Offer C,Yes,17.26,Yes,Yes,Fiber Optic,19,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.4,2936.25,0.0,0,517.8,3,5,97.875,3778
Male,42,No,Yes,0,1,1,No Offer,Yes,12.04,No,Yes,Cable,5,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.0,95.0,0.0,0,12.04,1,5,95.0,4489
Male,31,No,Yes,3,1,25,No Offer,Yes,23.69,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.5,630.6,44.42,0,592.25,3,0,25.224,5230
Female,74,Yes,Yes,1,9,61,Offer B,Yes,39.31,Yes,Yes,DSL,10,No,No,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,65.2,3965.05,0.0,0,2397.91,4,3,65.00081967213114,6238
Male,30,No,Yes,2,3,16,Offer D,Yes,27.24,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.5,290.55,0.0,0,435.84,3,0,18.159375,2856
Male,66,Yes,No,0,0,62,No Offer,Yes,47.8,Yes,Yes,Fiber Optic,8,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.75,7053.35,0.0,0,2963.6,5,7,113.76370967741936,5166
Male,26,No,No,0,0,22,Offer D,Yes,28.42,Yes,Yes,Fiber Optic,73,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.65,2415.95,5.01,0,625.24,5,5,109.81590909090909,4094
Female,26,No,No,0,0,2,Offer E,Yes,41.9,No,Yes,DSL,71,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45.55,84.4,0.0,10,83.8,5,0,42.2,4372
Female,44,No,Yes,3,5,13,No Offer,Yes,35.19,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.0,332.5,0.0,0,457.47,4,0,25.576923076923077,4734
Male,62,No,No,2,0,1,No Offer,Yes,15.66,No,Yes,DSL,29,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,44.0,44.0,0.0,0,15.66,5,1,44.0,4020
Female,67,Yes,No,0,0,11,No Offer,Yes,3.62,Yes,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.15,997.65,0.0,0,39.82,2,4,90.69545454545454,4074
Male,67,Yes,Yes,0,2,8,No Offer,Yes,26.99,No,Yes,Fiber Optic,2,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,80.45,583.45,0.0,0,215.92,1,2,72.93125,3443
Male,26,No,No,0,0,1,No Offer,Yes,30.09,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.45,20.45,0.0,0,30.09,4,0,20.45,4845
Female,58,No,No,0,0,13,Offer D,No,0.0,No,Yes,Cable,13,No,No,Yes,Yes,No,No,No,No,Two Year,No,Credit Card,35.4,450.4,0.0,100,0.0,3,2,34.646153846153844,3239
Female,30,No,No,0,0,57,No Offer,Yes,28.27,Yes,Yes,Fiber Optic,41,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,87.55,4884.85,1.83,0,1611.39,3,4,85.69912280701755,4882
Male,30,No,Yes,0,0,66,No Offer,Yes,23.51,Yes,Yes,Fiber Optic,52,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,106.05,6981.35,0.0,0,1551.66,2,6,105.7780303030303,5602
Female,46,No,No,1,0,9,No Offer,Yes,42.1,No,Yes,Fiber Optic,16,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,93.0,870.25,0.0,0,378.9,3,6,96.69444444444444,2267
Male,78,Yes,No,0,0,2,No Offer,Yes,43.66,No,Yes,DSL,25,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.15,92.65,0.0,0,87.32,2,1,46.325,5655
Female,28,No,No,0,0,29,No Offer,Yes,21.19,No,No,No Internet,0,No,No,No,No,No,No,No,No,One Year,No,Mailed Check,20.35,617.35,0.0,0,614.51,4,0,21.28793103448276,4840
Female,64,No,Yes,0,6,43,No Offer,Yes,21.08,Yes,Yes,Cable,14,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,86.45,3574.5,0.0,0,906.44,4,7,83.12790697674419,3110
Male,64,No,Yes,2,8,39,No Offer,Yes,20.49,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.2,987.95,0.0,0,799.11,5,0,25.33205128205128,5453
Female,52,No,No,3,0,19,Offer D,Yes,36.48,No,Yes,DSL,20,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.6,1297.8,0.0,0,693.12,3,4,68.30526315789473,2463
Male,19,No,Yes,3,8,63,Offer B,Yes,24.5,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.25,1573.05,0.0,0,1543.5,5,0,24.96904761904762,6245
Female,56,No,No,0,0,58,No Offer,Yes,42.33,Yes,Yes,Cable,7,Yes,Yes,Yes,Yes,No,No,No,Yes,One Year,Yes,Credit Card,71.1,4299.2,0.0,0,2455.14,3,5,74.12413793103448,5395
Female,53,No,Yes,3,8,55,Offer B,Yes,38.51,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,21.0,1210.3,0.0,0,2118.05,3,0,22.005454545454544,5046
Female,66,Yes,No,0,0,55,No Offer,Yes,37.38,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,0.0,100,2055.9,3,4,100.16909090909091,5679
Female,52,No,No,1,0,4,No Offer,Yes,32.15,No,No,No Internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,20.4,84.75,0.0,0,128.6,3,0,21.1875,5602
Male,63,No,No,0,0,1,No Offer,Yes,13.08,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.2,20.2,0.0,0,13.08,5,0,20.2,4496
Female,46,No,Yes,0,3,12,No Offer,Yes,25.09,Yes,Yes,Cable,17,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,78.85,876.75,0.0,0,301.08,3,6,73.0625,2495
